detection_scores,class,x min,y min,x max,y max
0.973,Abdeckung,136,184,346,265
0.921,Schraubenschluessel,234,119,270,224
0.993,Bohrkopf,338,366,377,413
0.927,Bohrtisch,178,411,513,513
0.824,Hebel,357,78,460,177
0.693,Hebel,407,159,470,194
0.863,Hebel,439,198,499,236
