detection_scores,class,x min,y min,x max,y max
0.842,Bohrtisch,173,400,513,513
0.962,Bohrkopf,325,360,364,401
0.910,Hebel,410,156,449,191
0.932,Hebel,426,195,484,234
0.919,Hebel,316,79,429,176
0.963,Schraubenschluessel,217,119,258,219
0.849,Abdeckung,148,179,317,257
