detection_scores,class,x min,y min,x max,y max
0.926,Cover,156,173,248,254
0.918,Lever,341,144,398,187
0.989,Wrench,158,114,208,214
0.895,Lever,196,54,333,169
0.832,Lever,395,187,450,234
0.968,Drilling head,305,365,347,414
0.759,Drilling table,141,413,512,513
