detection_scores,class,x min,y min,x max,y max
0.749,Gewinde,234,16,314,67
0.936,Abdeckung,222,84,337,154
0.918,Auflageflaeche,8,203,513,249
0.813,Hebel,386,172,417,200
0.993,Anschluss,193,260,240,279
0.937,Hebel,266,267,298,294
0.627,Hebel,355,254,380,280
0.619,Hebel,101,327,186,393
0.864,Hebel,292,400,402,422
